nome,ano,genero,generos_full,plataforma,plataformas_full,publisher,developer,nota,faixa_etaria,descricao,popularidade,playtime,tamanho_jogo,ratings_count,suggestions_count,engajamento_bruto,palavras_chave
Journey,2012,Adventure,Adventure||Family||Indie,iOS,iOS||PC||PlayStation 4||PlayStation 3,Sony Computer Entertainment,Sony Interactive Entertainment,4.4,N/A,Journey é um jogo de Adventure lançado em 2012 para iOS. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4406,2,curto,1735,297,7461.5,journey adventure||family||indie ios||pc||playstation 4||playstation 3 sony computer entertainment sony interactive entertainment
Hitman: Absolution,2012,Action,Action||Shooter,PC,PC||macOS||Xbox 360||PlayStation 3,Square Enix,IO Interactive,3.7,N/A,Hitman: Absolution é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.4402,7,medio,1055,632,7454.5,hitman: absolution action||shooter pc||macos||xbox 360||playstation 3 square enix io interactive
BioShock Remastered,2016,Shooter,Shooter,Nintendo Switch,Nintendo Switch||PC||macOS||Xbox One||PlayStation 4,2K Games,Feral Interactive,4.3,+17,BioShock Remastered é um jogo de Shooter lançado em 2016 para Nintendo Switch. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.4347,3,curto,866,294,7360.5,bioshock remastered shooter nintendo switch||pc||macos||xbox one||playstation 4 2k games feral interactive
Grand Theft Auto: Vice City,2002,Action,Action||Adventure,macOS,macOS||PC||iOS||Android||PlayStation 2||PlayStation 3||PlayStation 4||Xbox,Capcom,Rockstar North,4.4,+17,Grand Theft Auto: Vice City é um jogo de Action lançado em 2002 para macOS. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4322,2,curto,1829,382,7318.5,grand theft auto: vice city action||adventure macos||pc||ios||android||playstation 2||playstation 3||playstation 4||xbox capcom rockstar north
Uncharted 3: Drake's Deception,2011,Action,Action||Adventure,PlayStation 3,PlayStation 3||PlayStation 4,Sony Computer Entertainment,Naughty Dog,4.4,+13,Uncharted 3: Drake's Deception é um jogo de Action lançado em 2011 para PlayStation 3. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4267,12,medio,1425,668,7225.5,uncharted 3: drake's deception action||adventure playstation 3||playstation 4 sony computer entertainment naughty dog
Assassin's Creed II,2009,Action,Action,PlayStation 3,PlayStation 3||macOS||Xbox One||PC||PlayStation 4||Xbox 360,Ubisoft Entertainment,Ubisoft Montreal,4.4,+17,Assassin's Creed II é um jogo de Action lançado em 2009 para PlayStation 3. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4266,14,medio,1763,613,7223.0,assassin's creed ii action playstation 3||macos||xbox one||pc||playstation 4||xbox 360 ubisoft entertainment ubisoft montreal
Bastion,2011,Action,Action||Adventure||RPG||Indie,Linux,Linux||PC||iOS||Xbox One||macOS||Xbox 360||Nintendo Switch||PS Vita||PlayStation 4,Warner Bros. Interactive,Warner Bros. Interactive,4.2,N/A,Bastion é um jogo de Action lançado em 2011 para Linux. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.4215,4,curto,1199,518,7137.5,bastion action||adventure||rpg||indie linux||pc||ios||xbox one||macos||xbox 360||nintendo switch||ps vita||playstation 4 warner bros. interactive warner bros. interactive
The Last Of Us,2013,Action,Action||Adventure,PlayStation 3,PlayStation 3,Sony Computer Entertainment,Naughty Dog,4.6,+17,The Last Of Us é um jogo de Action lançado em 2013 para PlayStation 3. Ele possui nota média aproximada de 4.6/5 na base RAWG.,0.4212,15,medio,2008,638,7132.0,the last of us action||adventure playstation 3 sony computer entertainment naughty dog
Fallout: New Vegas,2010,Action,Action||Shooter||Adventure||RPG,Xbox One,Xbox One||PlayStation 4||PlayStation 3||PC||Xbox 360,Bethesda Softworks,Obsidian Entertainment,4.4,+17,Fallout: New Vegas é um jogo de Action lançado em 2010 para Xbox One. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4211,12,medio,1550,601,7130.0,fallout: new vegas action||shooter||adventure||rpg xbox one||playstation 4||playstation 3||pc||xbox 360 bethesda softworks obsidian entertainment
Prey (2017),2017,Action,Action||Shooter||RPG,PC,PC||PlayStation 4||Xbox One,Bethesda Softworks,Arkane Studios,4.3,+17,Prey (2017) é um jogo de Action lançado em 2017 para PC. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.4197,10,medio,1393,650,7106.5,prey (2017) action||shooter||rpg pc||playstation 4||xbox one bethesda softworks arkane studios
Heavy Rain,2010,Action,Action||Adventure,PC,PC||PlayStation 4||PlayStation 3,Sony Computer Entertainment,Quantic Dream,4.1,N/A,Heavy Rain é um jogo de Action lançado em 2010 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.4171,7,medio,1622,431,7062.5,heavy rain action||adventure pc||playstation 4||playstation 3 sony computer entertainment quantic dream
Half-Life 2: Deathmatch,2004,Action,Action,macOS,macOS||PC||Linux,Valve,Valve Software,3.3,+17,Half-Life 2: Deathmatch é um jogo de Action lançado em 2004 para macOS. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.4164,1,curto,619,227,7051.0,half-life 2: deathmatch action macos||pc||linux valve valve software
Hellblade: Senua's Sacrifice,2017,Action,Action||Adventure||Indie,PlayStation 4,PlayStation 4||Nintendo Switch||PC||Xbox One,Ninja Theory,Ninja Theory,4.3,+17,Hellblade: Senua's Sacrifice é um jogo de Action lançado em 2017 para PlayStation 4. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.4149,7,medio,1367,514,7025.5,hellblade: senua's sacrifice action||adventure||indie playstation 4||nintendo switch||pc||xbox one ninja theory ninja theory
Brothers - A Tale of Two Sons,2013,Adventure,Adventure||Indie||Puzzle,PC,PC||iOS||Android||PlayStation 4||Xbox 360||Nintendo Switch||PlayStation 3||Xbox One,505 Games,Starbreeze Studios,4.2,+13,Brothers - A Tale of Two Sons é um jogo de Adventure lançado em 2013 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.414,3,curto,1130,651,7011.0,brothers - a tale of two sons adventure||indie||puzzle pc||ios||android||playstation 4||xbox 360||nintendo switch||playstation 3||xbox one 505 games starbreeze studios
Injustice: Gods Among Us Ultimate Edition,2013,Action,Action||Arcade||Fighting,PC,PC||PS Vita||PlayStation 4||Xbox 360||PlayStation 3,Warner Bros. Interactive,NetherRealm Studios,3.6,+17,Injustice: Gods Among Us Ultimate Edition é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.4126,5,curto,911,413,6987.0,injustice: gods among us ultimate edition action||arcade||fighting pc||ps vita||playstation 4||xbox 360||playstation 3 warner bros. interactive netherrealm studios
XCOM: Enemy Unknown,2012,Strategy,Strategy,PC,PC||macOS||PlayStation 3||Xbox 360||Android||iOS,2K Games,Feral Interactive,4.2,N/A,XCOM: Enemy Unknown é um jogo de Strategy lançado em 2012 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.4116,14,medio,1165,525,6969.0,xcom: enemy unknown strategy pc||macos||playstation 3||xbox 360||android||ios 2k games feral interactive
Super Meat Boy,2010,Action,Action||Indie||Platformer,PC,PC||Linux||Android||macOS||Xbox 360||Web||Wii U||PlayStation 4||PS Vita||Nintendo Switch,Microsoft Studios,NVIDIA Lightspeed Studios,4.0,N/A,Super Meat Boy é um jogo de Action lançado em 2010 para PC. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.4116,3,curto,1263,318,6970.5,super meat boy action||indie||platformer pc||linux||android||macos||xbox 360||web||wii u||playstation 4||ps vita||nintendo switch microsoft studios nvidia lightspeed studios
Mafia II,2010,Action,Action||Adventure,Xbox One,Xbox One||PC||Xbox 360||PlayStation 3,2K Games,2K Czech,4.1,+17,Mafia II é um jogo de Action lançado em 2010 para Xbox One. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.4108,13,medio,1329,577,6957.0,mafia ii action||adventure xbox one||pc||xbox 360||playstation 3 2k games 2k czech
Max Payne 3,2012,Action,Action||Shooter,PC,PC||macOS||PlayStation 3||Xbox 360,Rockstar Games,Rockstar Games,4.2,N/A,Max Payne 3 é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.4095,11,medio,1242,626,6935.0,max payne 3 action||shooter pc||macos||playstation 3||xbox 360 rockstar games rockstar games
Firewatch,2016,Adventure,Adventure||Simulation||Indie,Xbox One,Xbox One||macOS||PC||Linux||PlayStation 4||Nintendo Switch,Campo Santo,Campo Santo,4.3,+17,Firewatch é um jogo de Adventure lançado em 2016 para Xbox One. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.4073,5,curto,1606,454,6897.0,firewatch adventure||simulation||indie xbox one||macos||pc||linux||playstation 4||nintendo switch campo santo campo santo
Mortal Kombat X,2015,Action,Action||Fighting,PC,PC||Android||iOS||Xbox One||PlayStation 4,Warner Bros. Interactive,Warner Bros. Interactive,3.9,+17,Mortal Kombat X é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.4056,7,medio,1398,697,6867.5,mortal kombat x action||fighting pc||android||ios||xbox one||playstation 4 warner bros. interactive warner bros. interactive
Hollow Knight,2017,Action,Action||Indie||Platformer,Linux,Linux||macOS||PC||Xbox One||PlayStation 4||Nintendo Switch,Team Cherry,Team Cherry,4.4,+10,Hollow Knight é um jogo de Action lançado em 2017 para Linux. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.403,6,medio,1416,539,6824.5,hollow knight action||indie||platformer linux||macos||pc||xbox one||playstation 4||nintendo switch team cherry team cherry
Borderlands: The Pre-Sequel,2014,Action,Action||Shooter||RPG,Linux,Linux||PlayStation 4||PC||Android||macOS||PlayStation 3||Xbox 360,2K Games,Aspyr Media,3.6,N/A,Borderlands: The Pre-Sequel é um jogo de Action lançado em 2014 para Linux. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.4009,7,medio,936,554,6788.5,borderlands: the pre-sequel action||shooter||rpg linux||playstation 4||pc||android||macos||playstation 3||xbox 360 2k games aspyr media
Red Dead Redemption,2010,Action,Action||Shooter,Xbox One,Xbox One||PlayStation 3||Xbox 360,Rockstar Games,Rockstar North,4.4,+17,Red Dead Redemption é um jogo de Action lançado em 2010 para Xbox One. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.4007,7,medio,1548,525,6784.5,red dead redemption action||shooter xbox one||playstation 3||xbox 360 rockstar games rockstar north
The Wolf Among Us,2013,Adventure,Adventure,Android,Android||PC||iOS||Xbox One||macOS||PS Vita||PlayStation 4||Xbox 360,Telltale Games,Telltale Games,4.3,+17,The Wolf Among Us é um jogo de Adventure lançado em 2013 para Android. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.3987,9,medio,1396,603,6751.5,the wolf among us adventure android||pc||ios||xbox one||macos||ps vita||playstation 4||xbox 360 telltale games telltale games
The Darkness II,2012,Action,Action,macOS,macOS||PC||Xbox One||Xbox 360||PlayStation 3,2K Games,2K,3.7,+17,The Darkness II é um jogo de Action lançado em 2012 para macOS. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.3965,4,curto,735,696,6714.0,the darkness ii action macos||pc||xbox one||xbox 360||playstation 3 2k games 2k
For Honor,2017,Action,Action||Massively Multiplayer,PC,PC||Xbox One||PlayStation 4,Ubisoft Entertainment,Ubisoft,3.3,+17,For Honor é um jogo de Action lançado em 2017 para PC. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.3965,7,medio,1183,704,6714.0,for honor action||massively multiplayer pc||xbox one||playstation 4 ubisoft entertainment ubisoft
Brutal Legend,2009,Action,Action||Strategy,Xbox One,Xbox One||macOS||iOS||Linux||PC||Xbox 360||PlayStation 3,Microsoft Studios,Electronic Arts,3.7,N/A,Brutal Legend é um jogo de Action lançado em 2009 para Xbox One. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.3961,5,curto,790,674,6708.0,brutal legend action||strategy xbox one||macos||ios||linux||pc||xbox 360||playstation 3 microsoft studios electronic arts
Dishonored 2,2016,Action,Action||RPG,Xbox One,Xbox One||PC||PlayStation 4,Bethesda Softworks,Bethesda Softworks,4.3,N/A,Dishonored 2 é um jogo de Action lançado em 2016 para Xbox One. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.3953,13,medio,1217,705,6693.0,dishonored 2 action||rpg xbox one||pc||playstation 4 bethesda softworks bethesda softworks
Batman: Arkham City - Game of the Year Edition,2012,Action,Action||Adventure,Xbox 360,Xbox 360||PC||PlayStation 4||Xbox One||macOS,Feral Interactive,Feral Interactive,4.4,+13,Batman: Arkham City - Game of the Year Edition é um jogo de Action lançado em 2012 para Xbox 360. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.3934,9,medio,995,648,6661.0,batman: arkham city - game of the year edition action||adventure xbox 360||pc||playstation 4||xbox one||macos feral interactive feral interactive
Batman: Arkham Asylum Game of the Year Edition,2010,Action,Action||Adventure||Platformer,PC,PC||PlayStation 3||Xbox 360,Square Enix,Feral Interactive,4.4,N/A,Batman: Arkham Asylum Game of the Year Edition é um jogo de Action lançado em 2010 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.3926,8,medio,1115,553,6647.5,batman: arkham asylum game of the year edition action||adventure||platformer pc||playstation 3||xbox 360 square enix feral interactive
INSIDE,2016,Action,Action||Adventure||Indie||Puzzle||Platformer,iOS,iOS||PC||Nintendo Switch||Xbox One||PlayStation 4,Playdead,Playdead,4.4,+13,INSIDE é um jogo de Action lançado em 2016 para iOS. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.3909,4,curto,1610,327,6619.5,inside action||adventure||indie||puzzle||platformer ios||pc||nintendo switch||xbox one||playstation 4 playdead playdead
Left 4 Dead,2008,Action,Action||Shooter,PC,PC||macOS||Xbox 360,Electronic Arts,Valve Software,4.1,+17,Left 4 Dead é um jogo de Action lançado em 2008 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.3903,6,medio,1053,624,6609.0,left 4 dead action||shooter pc||macos||xbox 360 electronic arts valve software
Call of Duty: Modern Warfare 2,2009,Action,Action||Shooter,PC,PC||macOS||PlayStation 3||Xbox 360,Activision Blizzard,Aspyr Media,4.2,N/A,Call of Duty: Modern Warfare 2 é um jogo de Action lançado em 2009 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.3896,25,longo,1301,657,6598.0,call of duty: modern warfare 2 action||shooter pc||macos||playstation 3||xbox 360 activision blizzard aspyr media
Path of Exile,2013,Action,Action||RPG||Massively Multiplayer||Indie,PC,PC||PlayStation 4||Xbox One,Grinding Gear Games,Grinding Gear Games,3.6,N/A,Path of Exile é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.3893,5,curto,1002,654,6591.5,path of exile action||rpg||massively multiplayer||indie pc||playstation 4||xbox one grinding gear games grinding gear games
Mad Max,2015,Action,Action||Adventure,PC,PC||Linux||Xbox 360||macOS||Xbox One||PlayStation 4,Feral Interactive,Avalanche Studios,3.7,+17,Mad Max é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.3891,12,medio,1181,542,6588.5,mad max action||adventure pc||linux||xbox 360||macos||xbox one||playstation 4 feral interactive avalanche studios
Cyberpunk 2077,2020,Action,Action||RPG,Xbox Series S/X,Xbox Series S/X||PlayStation 5||PlayStation 4||Xbox One||PC,CD PROJEKT RED,CD PROJEKT RED,4.2,+18,Cyberpunk 2077 é um jogo de Action lançado em 2020 para Xbox Series S/X. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.3878,18,medio,363,629,6566.5,cyberpunk 2077 action||rpg xbox series s/x||playstation 5||playstation 4||xbox one||pc cd projekt red cd projekt red
Just Cause 3,2015,Action,Action||Shooter,PC,PC||Xbox One||PlayStation 4,Square Enix,Square Enix,3.3,+17,Just Cause 3 é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.3876,7,medio,1057,636,6564.0,just cause 3 action||shooter pc||xbox one||playstation 4 square enix square enix
Darksiders,2010,Action,Action,Xbox One,Xbox One||PC||Xbox 360||PlayStation 3,THQ Nordic,THQ,3.8,+17,Darksiders é um jogo de Action lançado em 2010 para Xbox One. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.3844,3,curto,837,703,6509.0,darksiders action xbox one||pc||xbox 360||playstation 3 thq nordic thq
Just Cause 2,2010,Action,Action||Shooter,PC,PC||Xbox One||Xbox 360||PlayStation 3,Square Enix,Square Enix,3.6,+17,Just Cause 2 é um jogo de Action lançado em 2010 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.3841,3,curto,897,586,6503.5,just cause 2 action||shooter pc||xbox one||xbox 360||playstation 3 square enix square enix
Half-Life Deathmatch: Source,2006,Action,Action,PC,PC||Linux||macOS,Valve,Valve Software,3.3,+17,Half-Life Deathmatch: Source é um jogo de Action lançado em 2006 para PC. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.3809,1,curto,498,288,6450.5,half-life deathmatch: source action pc||linux||macos valve valve software
Watch Dogs,2014,Action,Action,PC,PC||PlayStation 4||Xbox One||Wii U||Xbox 360||PlayStation 3,Ubisoft Entertainment,Ubisoft,3.5,N/A,Watch Dogs é um jogo de Action lançado em 2014 para PC. Ele possui nota média aproximada de 3.5/5 na base RAWG.,0.3804,19,medio,1360,657,6442.0,watch dogs action pc||playstation 4||xbox one||wii u||xbox 360||playstation 3 ubisoft entertainment ubisoft
Transistor,2014,Action,Action||RPG||Indie,Linux,Linux||macOS||PC||iOS||Nintendo Switch||PlayStation 4,Supergiant Games,Supergiant Games,4.2,+13,Transistor é um jogo de Action lançado em 2014 para Linux. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.3802,4,curto,1095,510,6437.5,transistor action||rpg||indie linux||macos||pc||ios||nintendo switch||playstation 4 supergiant games supergiant games
